agentic,n,avg_mu,med_mu,avg_runs,med_runs,avg_bookmarks,med_bookmarks,avg_rating,avg_builds,avg_reviews
False,23155,5.33,1.0,1522.86,29.0,1.98,0.0,0.686,16.6,0.51
True,39490,16.34,1.0,4467.13,29.0,1.99,0.0,0.428,17.7,0.45
