agentic,n_actors,avg_n_events,avg_median_event_price,avg_mean_event_price,avg_max_price,avg_price_range
False,12371,2.09,0.043639,0.050057,0.0875,0.0661
True,39490,2.05,0.040712,0.048675,0.0944,0.0788
