actor_id,n_events,cv_price,monthly_users,agentic,log_mu
06dKYyy9kn0doLZ4u,2,,1,True,0.6931471805599453
06h5xr6HUmumx8hUt,2,,1,True,0.6931471805599453
06hmhic4Ra61JHnzg,2,1.157083823759805,0,True,0.0
06iDmkvBpJnl8TEmp,2,0.0,0,False,0.0
06mImcBLl2ibvCmif,2,0.0,7,True,2.0794415416798357
06qGcTjFdsgDT5TPi,3,0.9271951489481898,0,False,0.0
06qNJCeDgoLPjeH3Z,2,1.0240856830977585,0,False,0.0
07Cj2gF58Baw5LzHN,4,1.1956507113837787,1,True,0.6931471805599453
07F4hVBSL6GZRgem6,3,1.1577278501756953,10,True,2.3978952727983707
07FyFuCbYiesUCRZC,2,1.4001417856330642,4,True,1.6094379124341003
07KJgwQp0zUywsdx0,2,0.0,1,True,0.6931471805599453
07NhDvqgDZlrrluZp,2,1.2541139138025559,1,True,0.6931471805599453
07Z9UFMzgtHoTkiMo,2,,0,True,0.0
07avbIxb6fogRRIel,3,1.643833565578436,0,True,0.0
07epSQnJDVB4c6c2N,2,0.0,3,True,1.3862943611198906
07hd4NohAfUd3uWdD,3,1.3550984883819293,1,False,0.6931471805599453
084bNkqmglhWur2Ul,2,,3,True,1.3862943611198906
086mLlZw4zL7IahqG,1,0.0,2,True,1.0986122886681098
08JYjaaZ0x3Cjl4xV,3,,1,True,0.6931471805599453
08MG9pmSBLXI2V5kX,1,0.0,1,True,0.6931471805599453
08OSwkxadzhARSh0B,2,,1,True,0.6931471805599453
08U5FtJflJFVSFivm,2,1.379294708981167,1,True,0.6931471805599453
08ewLCfjsE0DH0bjM,2,,7,True,2.0794415416798357
08n3bMfGIL8qvduzG,2,0.4682513132941017,0,False,0.0
08uzPOqSfKRAuAiXO,1,0.0,1,True,0.6931471805599453
08vGHGsxQdcjXyKiK,1,,0,True,0.0
095rfgHtUpM4pT5mu,2,1.3232683305955801,3,False,1.3862943611198906
0976hIeT2jKVqUabV,2,,1,True,0.6931471805599453
097EZpCsO0dswsXzz,2,0.0,1,True,0.6931471805599453
09DtdO51vrY4q0i0i,2,0.6060915267313264,1,True,0.6931471805599453
09TtSjF9Uzs5qfvLc,2,1.3724141467364517,21,True,3.091042453358316
09ZteWP3SrEx8gtzZ,1,,1,True,0.6931471805599453
09dWAYu5hL9Zy04of,2,0.0,0,True,0.0
09oNSfQSYynqBM35A,1,0.0,1,True,0.6931471805599453
09oUwjPYVcDFf0G1i,1,0.0,1,True,0.6931471805599453
09tDH6OJJLGi0cOU5,2,1.3862093334152121,0,True,0.0
