pscore,eligible,matched
0.9924454408188057,1,0
0.9716371592865807,1,0
0.9828528129350089,1,0
0.9438981010700497,1,0
0.9647337663921405,1,0
0.983832142994697,1,0
0.9900971347176863,1,0
0.9884549380594833,1,0
0.9397880483200781,1,0
0.9760928822861276,1,0
0.9987225734198566,1,0
0.9929077985519692,1,0
0.9267045812009559,1,0
0.9975994642061701,1,0
0.9550434353447823,1,0
0.9731268130966396,1,0
0.9866611736492165,1,0
0.9957508405927783,1,0
0.9949142823987913,1,0
0.9854855862962384,1,0
0.9208908631560339,1,0
0.9242260752375162,1,0
0.25988008623466946,0,1
0.9676826537914031,1,0
0.9411259566088441,1,0
0.8023154757903833,0,1
0.9359355101022739,1,0
0.9291470372364009,1,0
0.9643167989563627,1,0
0.25598407042474836,1,1
0.9574119140292197,1,0
0.9662116816724204,1,0
0.9789772834692198,1,0
0.9863190069152024,1,0
0.9979429798174596,1,0
0.9206258557211673,0,1
0.9601324000435616,1,0
0.8885333779210353,1,1
0.9871832721043845,1,0
0.9868987093875871,1,0
0.995907545390846,1,0
0.9958636500017486,1,0
0.9510157851618158,1,0
0.9586426523547373,1,0
0.6918639723333855,1,0
0.5795468644177084,1,0
0.9800609813150287,1,0
0.9837932319357022,1,0
0.9835356177518866,1,0
0.8501306231900607,1,0
0.9529000066858924,1,0
0.9687314069316864,1,0
0.9908237330149029,1,0
0.9895864567935193,1,0
0.9184218399880744,1,0
0.9404056614344426,1,0
0.942832875900353,1,0
0.995216398764241,1,0
0.9922142966305119,1,0
0.9835539516665507,1,0
0.9990021713475816,1,0
0.8546031298154911,0,1
0.9701930678942499,1,0
0.9629474348773319,1,0
0.9867231353364989,1,0
0.9945477607729728,1,0
0.9915358824381932,1,0
0.21848371299072855,0,1
0.9949250312500479,1,0
0.9415464907564975,1,0
0.9511630832149455,1,0
0.9398167775104637,1,0
0.9526854306005227,1,0
0.978752265456692,1,0
0.9950174412370291,1,0
0.9212396075416153,1,0
0.866131057739098,1,1
0.9980753772925747,1,0
0.9692272130646087,1,0
0.9824562104535017,1,0
0.9830214139525408,1,0
0.9504702946729404,1,0
0.9450097539591178,0,1
0.8784718581332946,1,0
0.5980338178635624,0,1
0.917989224799479,1,1
0.9931076276320336,1,0
0.9870583682758286,1,0
0.9770356667572226,1,0
0.9843238696792077,1,0
0.9324574745748218,1,0
0.9313635519972235,1,0
0.9603411867951556,1,0
0.8755709766477863,1,0
0.7519282397761144,1,0
0.981502057668859,1,0
0.9608833083035547,1,0
0.9717052537901627,1,0
0.9969114330301229,1,0
0.9663892267269135,1,0
0.956008642523559,1,0
0.9884549284832872,1,0
0.9869874351000811,1,0
0.9817541620408845,1,0
0.9793751442977983,1,0
0.4508258913589072,1,0
0.9274733338571245,1,0
0.9778950758526196,1,0
0.9948927666852033,1,0
0.9794578874652201,1,0
0.993807677167676,1,0
0.9364921617134778,1,0
0.9948914204089728,1,0
0.9910223307700305,1,0
0.9611717226711944,1,0
0.9854405936103293,1,0
0.99114345729672,1,0
0.9752684710402874,1,0
0.593735225153978,1,0
0.71445871394481,1,0
0.9330669895190882,1,0
0.9337466722387251,1,0
0.9780458521240367,1,0
0.9749344855000026,1,0
0.9840386371137275,1,0
0.9424899650017233,1,0
0.9770982981633,1,0
0.869243997122524,1,1
0.98538366300214,1,0
0.9854850378355915,1,0
0.9973899229094138,1,0
0.9877976644752237,1,0
0.9561549720625827,1,0
0.9921803616688643,1,0
0.9846610255379837,1,0
0.9946284292675378,1,0
0.9811342679930856,1,0
0.9787398554937926,1,0
0.9967100926670878,1,0
0.9476079130564188,1,0
0.9421982598027967,1,0
0.9258155423850798,1,0
0.9450939692527706,1,0
0.927244908887588,1,0
0.9707247483489064,1,0
0.9838220404134745,1,0
0.9858088860013606,1,0
0.9930387159278606,1,0
0.9930011037055639,1,0
0.9905008551021623,1,0
0.9422104091856276,1,0
0.9708283929723043,1,0
0.9512400016751837,1,0
0.9658777397978816,1,0
0.9986606110685889,1,0
0.9788350740370471,0,1
0.7701738802909892,1,1
0.9950151378595344,1,0
0.9925383911567275,1,0
0.9956482924304252,1,0
0.995091492956657,1,0
0.9166290787846731,1,0
0.9852766875372706,1,0
0.993121469026672,1,0
0.9795867485108766,1,0
0.973819404482727,1,1
0.9800225306073125,1,0
0.9837706939942416,1,0
0.9695704114376426,1,0
0.9826555247563318,1,0
0.9874469359707988,1,0
0.9834282148735034,1,0
0.9466767346323428,1,0
0.9874527415749959,1,0
0.9959764165718414,1,0
0.9879081965715888,1,0
0.9830495831449461,1,0
0.9816445018921885,1,0
0.971272913583249,0,1
0.9150191186430515,1,0
0.9919034949348735,1,0
0.9918677462874268,1,0
0.9478612432058149,1,1
0.9709381400738951,1,0
0.9654599722486618,1,0
0.9932296040356798,1,0
0.9961868629177729,1,0
0.9803801158038996,1,0
0.9764501294793242,1,0
0.817960777802191,1,1
0.9875946348583409,1,0
0.9904431348155384,1,0
0.9681402497181949,1,0
0.9863147881469038,1,0
0.9919900045392858,1,0
0.9523991276540072,1,0
0.9411355794034786,1,0
0.9861816014905445,1,0
0.9924323540934376,1,0
0.9784214196389542,1,0
0.7144905118472291,1,0
0.9740059617283963,1,0
0.9078122494556273,1,0
0.9952653626513607,1,0
0.9926238528961955,1,0
0.9596546563610355,1,0
0.9838803735917,1,0
0.9935194913524666,1,0
0.9820772425412396,1,0
0.9446847592356528,1,0
0.99424683390162,1,0
0.9808700005957103,1,0
0.9919128958631271,1,0
0.9403479022541648,1,0
0.9725884840388033,1,0
0.9995508929532192,1,0
0.9915180818290563,1,0
0.9470575441751153,1,0
0.9082270056454356,1,0
0.9204242313564666,0,1
0.9623134466957596,1,0
0.7999082986551905,0,1
0.8528777177962202,1,0
0.9691755455766767,1,0
0.9444181510580636,1,0
0.6688133657137684,1,0
0.9804139827600955,1,0
0.9996870498641591,1,0
0.9339455156906453,1,0
0.9817252140934725,1,0
0.9233354896932082,1,0
0.9917366789007767,1,0
0.9891291480965251,1,0
0.9899383541536642,1,0
0.992927413400891,1,0
0.9729153002628526,1,0
0.9888213285579038,1,0
0.9981889933752282,1,0
0.9138409112643712,1,0
0.8883319836178504,1,0
0.9921703883286435,1,0
0.9749878007148229,1,0
0.9810905512895662,1,0
0.9041119757798113,1,0
0.9625351641976595,1,0
0.9858007781295512,1,0
0.996842294201832,1,0
0.9759349252521696,1,0
0.9417453740103917,1,0
0.9433439491890537,1,0
0.9986587737037134,1,0
