username,portfolio_size,agentic_share,avg_mu,avg_builds
gifted_wagon,28,1.0,1.0357142857142858,1.9642857142857142
goat255,109,0.817,4.614678899082569,9.18348623853211
gp1991,2,1.0,13.5,10.0
h_reviews,4,1.0,16.25,30.5
haketa,179,1.0,3.1284916201117317,8.64804469273743
hamdo,2,0.5,1.5,4.5
hamzatrq,6,1.0,0.6666666666666666,10.166666666666666
harvestlabs,7,0.0,0.14285714285714285,21.714285714285715
headply,2,0.0,0.5,25.0
hichemdev,56,0.0,1.2321428571428572,2.875
housingfeed,9,1.0,1.3333333333333333,12.222222222222221
iblead,6,1.0,0.6666666666666666,14.333333333333334
incredible_moment,6,1.0,0.0,8.0
indomitably_doctor,3,1.0,1.0,10.333333333333334
innocent_goodness,3,0.667,0.3333333333333333,4.0
intimate_pacu,21,1.0,0.9047619047619048,1.2380952380952381
inutil_labs,2,0.0,16.0,74.5
irreplaceable_chevrotain,5,0.0,0.0,1.0
ittechinnovators,9,0.111,17.444444444444443,14.222222222222221
jadelike_zine,6,1.0,1.0,1.8333333333333333
james.logantech,3,0.0,0.3333333333333333,50.333333333333336
jamkon,3,0.0,1.0,4.333333333333333
jaroslavhejlek,2,0.0,1.5,19.5
jenko_systems,12,1.0,3.3333333333333335,6.416666666666667
jobo.world,16,1.0,19.625,39.3125
jobsapi,91,0.0,1.021978021978022,2.5164835164835164
joeslade,6,0.0,0.8333333333333334,8.666666666666666
johnvc,88,1.0,41.26136363636363,90.2840909090909
johnwillie,5,0.0,0.8,1.0
jorokotev,2,0.5,1.0,8.0
juandiaz.mx,3,1.0,2.0,31.333333333333332
juramoshkov,5,1.0,1.4,14.4
kaichi-labs,7,0.143,1.0,2.0
karan_sharma_23,2,0.5,1.0,16.5
kawsar,177,0.966,2.016949152542373,6.435028248587571
kenny256,2,0.5,0.5,28.0
keratogenous_surgeon,3,1.0,0.6666666666666666,1.6666666666666667
khaki_yak,2,0.0,2.5,13.5
knotted_tussock,8,0.0,0.75,2.875
kops-inc,5,0.8,1.6,15.4
ku3o,2,1.0,1.5,8.5
labrat011,23,0.826,4.173913043478261,15.347826086956522
laisidata,4,1.0,8.25,110.75
latam-data,2,1.0,1.0,10.5
leadsbrary,27,0.037,18.25925925925926,15.74074074074074
legend006,7,1.0,1.1428571428571428,3.5714285714285716
leon.operator,3,0.667,2.3333333333333335,4.666666666666667
limitless_can_p5z,2,1.0,1.0,4.0
linus009400,4,1.0,1.5,4.0
literal_jacktree,3,0.333,0.3333333333333333,3.0
lizzyyy2,15,1.0,0.5333333333333333,4.2
lofomachines,69,0.899,10.565217391304348,11.63768115942029
lone_cipher,2,1.0,1.0,9.5
louisdeconinck,74,0.203,15.58108108108108,6.635135135135135
luteous_canoe,5,0.0,0.0,1.0
macheta,9,0.0,9.666666666666666,9.555555555555555
malikgen,10,0.0,5.8,19.2
malonestar,114,1.0,0.7982456140350878,8.24561403508772
martin1080p,2,0.0,3.5,28.5
matencio,2,1.0,56.0,12.5
meticulous_agenda,2,0.0,0.0,20.0
mfapitools,10,1.0,1.0,8.0
mherzog,3,0.333,7.666666666666667,10.0
michael.g,9,0.889,58.0,55.44444444444444
mido_99,4,0.25,1.25,56.5
miladamirzadeh,6,0.5,4.5,13.5
mind_momentum,7,1.0,0.2857142857142857,5.0
minimal_junglefowl,2,0.0,1.0,11.5
misceres,6,0.167,427.8333333333333,71.83333333333333
missingreports,5,1.0,1.2,10.4
moillamas,3,0.0,0.3333333333333333,4.333333333333333
money_machine_agent,3,1.0,0.0,1.6666666666666667
mostafa-ennadi,7,0.857,14.857142857142858,10.428571428571429
mowell_labs,5,0.8,1.0,3.0
mrlarry,2,1.0,1.0,4.5
mrprince90,14,0.0,0.35714285714285715,8.428571428571429
ms-automations,2,1.0,0.5,7.0
mtrunkat,7,0.0,5.714285714285714,27.0
mtrunkatova,4,0.0,0.25,2.0
muhammad_usama,7,0.429,10.714285714285714,15.571428571428571
muhdarifx,3,0.667,1.0,33.333333333333336
muzafferkadir,14,1.0,2.642857142857143,13.571428571428571
mvolfik,2,0.0,2.0,13.0
myexcelsolutions,2,1.0,0.5,2.0
ncst,2,0.0,0.5,7.5
nec,3,0.333,0.0,42.666666666666664
needy_hammock,3,1.0,3.6666666666666665,50.0
nestled_rider,2,0.0,1.0,5.0
neuro-scraper,43,0.023,0.4186046511627907,13.86046511627907
newpo,9,0.444,2.111111111111111,25.11111111111111
nexgenwatch,155,1.0,0.9612903225806452,8.154838709677419
niche_lens,5,1.0,1.0,4.0
nikse77,5,0.0,0.2,1.8
nivlekk,5,1.0,2.8,5.6
nlp_data_lni,4,1.0,0.5,46.5
nodexagent,2,0.0,2.0,48.0
noetic_caption,2,1.0,1.0,5.5
noraview,2,0.0,33.0,146.5
northbound_works,3,1.0,1.0,3.0
nuclear_quietude,3,0.333,8.0,13.0
nuhemugames,7,1.0,1.0,1.5714285714285714
obsequious_ontologist,2,0.5,0.5,16.0
oldbie,2,0.5,1.0,2.5
oliverostech,2,1.0,1.0,8.5
openclawmara,24,1.0,0.5416666666666666,7.375
opensignals,8,1.0,1.0,7.125
opspilot.cc,24,0.417,2.4583333333333335,17.625
orangepinlabs,2,1.0,1.0,3.0
orbiscribe,19,1.0,0.5789473684210527,5.631578947368421
orgupdate,25,0.88,25.84,10.32
originalvi,5,0.6,1.0,2.2
orthogonal_redbud,2,0.0,2.0,38.5
ozito,2,1.0,1.0,6.0
parsebird,163,1.0,3.7975460122699385,3.785276073619632
patel_dev_automation,6,1.0,2.1666666666666665,4.333333333333333
paul_44,3,0.667,20.0,29.333333333333332
paulovitor18,23,1.0,1.9130434782608696,11.130434782608695
pear_fight,27,0.889,3.037037037037037,10.296296296296296
perci,2,0.0,0.5,2.0
permitdata,2,1.0,1.5,18.0
perryay,55,0.0,1.4181818181818182,18.345454545454544
poidata,4,1.0,40.75,167.75
powerful_platypus,6,1.0,0.0,1.5
practicaltools,24,0.542,48.458333333333336,18.791666666666668
pranavpatel,2,0.0,1.0,7.0
premiumscraper,55,0.0,6.490909090909091,14.745454545454546
primevision,5,0.2,0.2,4.4
pringlesbitch,2,0.0,1.5,1.5
produkdigitalali,9,1.0,1.5555555555555556,5.777777777777778
profitstack,2,1.0,0.0,15.5
programmersoham,2,1.0,1.0,10.5
publicdataworks,3,0.333,0.6666666666666666,4.333333333333333
quarto_topic,3,0.0,0.3333333333333333,2.6666666666666665
radeance,17,0.412,39.88235294117647,40.0
rapidtech1898,4,0.75,1.0,11.75
rare_sunset,5,0.0,0.0,7.4
raushan2288,5,0.8,1.2,9.8
real_spidery,5,0.8,3.4,19.4
receptional_blender,35,1.0,0.9428571428571428,1.0571428571428572
recordsdb,3,0.667,1.0,15.666666666666666
renzomacar,77,0.935,2.3636363636363638,8.909090909090908
riisager,2,0.5,2.5,31.0
robertsong13,2,1.0,0.0,26.5
rotvuvo,14,0.0,1.2142857142857142,1.6428571428571428
rover-omniscraper,6,0.333,4.666666666666667,10.333333333333334
ryyos,25,0.96,1.0,2.32
saadithya,16,0.563,0.5,14.375
samiullah07,2,0.5,1.0,36.5
sargis_aleksanyan,3,0.667,0.6666666666666666,12.666666666666666
scrape.badger,61,1.0,13.557377049180328,6.688524590163935
scrapebridge,27,0.0,0.5925925925925926,1.0
scraped,66,0.0,1.0909090909090908,24.545454545454547
scrapeengine,43,0.0,0.6976744186046512,3.7674418604651163
scraptivo,66,0.545,0.7272727272727273,3.590909090909091
scravitylab,14,0.143,4.285714285714286,124.21428571428571
second_coming,36,0.722,1.0,4.944444444444445
sergeyfaraday,2,1.0,0.5,27.0
serj_henrique,4,0.75,0.5,6.0
shanks0x0,6,0.0,1.1666666666666667,14.166666666666666
silo,2,0.0,1.5,2.5
simon.m,2,0.0,2.0,8.5
simplifysme,6,1.0,0.6666666666666666,19.333333333333332
singhera07,2,0.0,5.5,8.5
sirgrant11788,8,1.0,0.875,6.25
smart_api,2,1.0,0.5,14.5
smartspidering,2,0.5,0.5,42.5
social_developer,6,1.0,16.833333333333332,9.333333333333334
sparkling_fall,3,0.0,1.0,3.3333333333333335
spectr_of_inspiration,2,1.0,5.5,24.0
spider_studio,9,1.0,1.0,8.777777777777779
springstea,6,1.0,1.0,2.8333333333333335
spry_frame,22,1.0,0.9545454545454546,6.090909090909091
stackrelay,29,0.655,1.8275862068965518,23.586206896551722
starbright_overlap,13,1.0,1.0,12.76923076923077
stephaniehhnbrg,2,1.0,2.0,7.0
studio-amba,772,0.999,0.8860103626943006,4.786269430051814
superapis,16,0.0,0.4375,5.6875
sushidata,2,0.5,2.5,6.0
swarmgarden,3,1.0,11.0,12.0
swholmes,6,1.0,0.16666666666666666,4.666666666666667
